fonte: 1, destino: 611, peso: 1
fonte: 9, destino: 952, peso: 1
fonte: 42, destino: 399, peso: 1
fonte: 49, destino: 77, peso: 1
fonte: 74, destino: 740, peso: 1
fonte: 98, destino: 353, peso: 1
fonte: 158, destino: 41, peso: 1
fonte: 158, destino: 204, peso: 1
fonte: 190, destino: 82, peso: 1
fonte: 212, destino: 574, peso: 1
fonte: 274, destino: 62, peso: 1
fonte: 293, destino: 743, peso: 1
fonte: 332, destino: 625, peso: 1
fonte: 375, destino: 171, peso: 1
fonte: 383, destino: 65, peso: 1
fonte: 395, destino: 306, peso: 1
fonte: 411, destino: 78, peso: 1
fonte: 423, destino: 836, peso: 1
fonte: 430, destino: 657, peso: 1
fonte: 434, destino: 908, peso: 1
fonte: 472, destino: 46, peso: 1
fonte: 497, destino: 291, peso: 1
fonte: 506, destino: 5, peso: 1
fonte: 511, destino: 724, peso: 1
fonte: 553, destino: 119, peso: 1
fonte: 558, destino: 77, peso: 1
fonte: 573, destino: 622, peso: 1
fonte: 577, destino: 281, peso: 1
fonte: 612, destino: 591, peso: 1
fonte: 630, destino: 536, peso: 1
fonte: 658, destino: 999, peso: 1
fonte: 668, destino: 357, peso: 1
fonte: 697, destino: 441, peso: 1
fonte: 703, destino: 357, peso: 1
fonte: 722, destino: 768, peso: 1
fonte: 749, destino: 224, peso: 1
fonte: 749, destino: 323, peso: 1
fonte: 749, destino: 432, peso: 1
fonte: 760, destino: 625, peso: 1
fonte: 788, destino: 128, peso: 1
fonte: 796, destino: 791, peso: 1
fonte: 809, destino: 623, peso: 1
fonte: 811, destino: 166, peso: 1
fonte: 834, destino: 310, peso: 1
fonte: 840, destino: 752, peso: 1
fonte: 843, destino: 313, peso: 1
fonte: 860, destino: 290, peso: 1
fonte: 863, destino: 489, peso: 1
fonte: 892, destino: 47, peso: 1
fonte: 894, destino: 80, peso: 1
fonte: 902, destino: 328, peso: 1
fonte: 908, destino: 546, peso: 1
fonte: 910, destino: 274, peso: 1
fonte: 919, destino: 829, peso: 1
fonte: 923, destino: 721, peso: 1
fonte: 926, destino: 392, peso: 1
fonte: 929, destino: 224, peso: 1
fonte: 976, destino: 199, peso: 1
fonte: 978, destino: 725, peso: 1
fonte: 981, destino: 257, peso: 1
fonte: 22, destino: 803, peso: 2
fonte: 28, destino: 135, peso: 2
fonte: 54, destino: 506, peso: 2
fonte: 58, destino: 181, peso: 2
fonte: 68, destino: 150, peso: 2
fonte: 75, destino: 576, peso: 2
fonte: 145, destino: 863, peso: 2
fonte: 156, destino: 113, peso: 2
fonte: 158, destino: 196, peso: 2
fonte: 166, destino: 641, peso: 2
fonte: 177, destino: 412, peso: 2
fonte: 181, destino: 45, peso: 2
fonte: 181, destino: 474, peso: 2
fonte: 200, destino: 913, peso: 2
fonte: 204, destino: 806, peso: 2
fonte: 210, destino: 712, peso: 2
fonte: 232, destino: 103, peso: 2
fonte: 260, destino: 5, peso: 2
fonte: 283, destino: 525, peso: 2
fonte: 351, destino: 585, peso: 2
fonte: 372, destino: 822, peso: 2
fonte: 408, destino: 122, peso: 2
fonte: 417, destino: 292, peso: 2
fonte: 428, destino: 54, peso: 2
fonte: 456, destino: 63, peso: 2
fonte: 482, destino: 236, peso: 2
fonte: 483, destino: 731, peso: 2
fonte: 506, destino: 351, peso: 2
fonte: 515, destino: 825, peso: 2
fonte: 520, destino: 51, peso: 2
fonte: 523, destino: 355, peso: 2
fonte: 534, destino: 973, peso: 2
fonte: 541, destino: 796, peso: 2
fonte: 545, destino: 732, peso: 2
fonte: 587, destino: 636, peso: 2
fonte: 592, destino: 414, peso: 2
fonte: 603, destino: 574, peso: 2
fonte: 613, destino: 404, peso: 2
fonte: 624, destino: 509, peso: 2
fonte: 637, destino: 903, peso: 2
fonte: 659, destino: 829, peso: 2
fonte: 680, destino: 138, peso: 2
fonte: 686, destino: 829, peso: 2
fonte: 712, destino: 487, peso: 2
fonte: 798, destino: 467, peso: 2
fonte: 800, destino: 355, peso: 2
fonte: 803, destino: 805, peso: 2
fonte: 804, destino: 135, peso: 2
fonte: 808, destino: 397, peso: 2
fonte: 826, destino: 730, peso: 2
fonte: 847, destino: 335, peso: 2
fonte: 862, destino: 628, peso: 2
fonte: 879, destino: 600, peso: 2
fonte: 895, destino: 224, peso: 2
fonte: 906, destino: 965, peso: 2
fonte: 917, destino: 926, peso: 2
fonte: 923, destino: 298, peso: 2
fonte: 942, destino: 867, peso: 2
fonte: 946, destino: 906, peso: 2
fonte: 968, destino: 796, peso: 2
fonte: 975, destino: 374, peso: 2
fonte: 978, destino: 518, peso: 2
fonte: 987, destino: 847, peso: 2
fonte: 18, destino: 30, peso: 3
fonte: 26, destino: 203, peso: 3
fonte: 68, destino: 662, peso: 3
fonte: 108, destino: 211, peso: 3
fonte: 146, destino: 206, peso: 3
fonte: 147, destino: 269, peso: 3
fonte: 155, destino: 670, peso: 3
fonte: 182, destino: 703, peso: 3
fonte: 201, destino: 884, peso: 3
fonte: 227, destino: 607, peso: 3
fonte: 228, destino: 515, peso: 3
fonte: 260, destino: 299, peso: 3
fonte: 261, destino: 449, peso: 3
fonte: 275, destino: 286, peso: 3
fonte: 280, destino: 786, peso: 3
fonte: 280, destino: 843, peso: 3
fonte: 290, destino: 654, peso: 3
fonte: 315, destino: 165, peso: 3
fonte: 321, destino: 991, peso: 3
fonte: 345, destino: 749, peso: 3
fonte: 354, destino: 558, peso: 3
fonte: 385, destino: 786, peso: 3
fonte: 392, destino: 817, peso: 3
fonte: 402, destino: 849, peso: 3
fonte: 415, destino: 660, peso: 3
fonte: 425, destino: 922, peso: 3
fonte: 426, destino: 701, peso: 3
fonte: 440, destino: 95, peso: 3
fonte: 473, destino: 868, peso: 3
fonte: 476, destino: 491, peso: 3
fonte: 499, destino: 554, peso: 3
fonte: 500, destino: 438, peso: 3
fonte: 505, destino: 36, peso: 3
fonte: 520, destino: 274, peso: 3
fonte: 533, destino: 691, peso: 3
fonte: 549, destino: 466, peso: 3
fonte: 558, destino: 370, peso: 3
fonte: 559, destino: 616, peso: 3
fonte: 570, destino: 442, peso: 3
fonte: 573, destino: 976, peso: 3
fonte: 656, destino: 331, peso: 3
fonte: 674, destino: 253, peso: 3
fonte: 690, destino: 871, peso: 3
fonte: 692, destino: 309, peso: 3
fonte: 709, destino: 697, peso: 3
fonte: 719, destino: 88, peso: 3
fonte: 781, destino: 628, peso: 3
fonte: 800, destino: 114, peso: 3
fonte: 815, destino: 161, peso: 3
fonte: 817, destino: 945, peso: 3
fonte: 830, destino: 387, peso: 3
fonte: 855, destino: 46, peso: 3
fonte: 889, destino: 805, peso: 3
fonte: 913, destino: 584, peso: 3
fonte: 928, destino: 706, peso: 3
fonte: 935, destino: 170, peso: 3
fonte: 977, destino: 173, peso: 3
fonte: 983, destino: 305, peso: 3
fonte: 6, destino: 63, peso: 4
fonte: 71, destino: 144, peso: 4
fonte: 78, destino: 959, peso: 4
fonte: 83, destino: 42, peso: 4
fonte: 133, destino: 790, peso: 4
fonte: 150, destino: 877, peso: 4
fonte: 154, destino: 255, peso: 4
fonte: 155, destino: 367, peso: 4
fonte: 167, destino: 235, peso: 4
fonte: 176, destino: 954, peso: 4
fonte: 198, destino: 501, peso: 4
fonte: 198, destino: 751, peso: 4
fonte: 214, destino: 675, peso: 4
fonte: 218, destino: 754, peso: 4
fonte: 253, destino: 403, peso: 4
fonte: 264, destino: 443, peso: 4
fonte: 267, destino: 40, peso: 4
fonte: 270, destino: 828, peso: 4
fonte: 272, destino: 620, peso: 4
fonte: 286, destino: 274, peso: 4
fonte: 312, destino: 976, peso: 4
fonte: 314, destino: 42, peso: 4
